Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
1004,Shard of Spring,Strategic Simulations,TX Digital Illusions,10000,1/1/1986,3/25/2021,Role-Playing
1005,Realms of Darkness,Strategic Simulations,Strategic Simulations,10000,1/1/1986,3/25/2021,Role-Playing
1006,The Warp Factor,Strategic Simulations,Strategic Simulations,10000,1/1/1980,4/6/2021,Simulation
1007,Horizon V,Gebelli Software,Gebelli Software,10000,1/1/1982,4/6/2021,Misc
1008,Canyon Climber,Tandy Corporation,Steve Bjork,10000,1/1/1982,4/6/2021,Platform
1009,DragonQuest,Enix,Simulations Publications,10000,5/27/1986,4/6/2021,Role-Playing
1010,Rear Guard,Adventure International,Adventure International,0,12/1/1981,4/6/2021,Shooter
1011,Far Cry 6,Ubisoft,Ubisoft Toronto,,10/7/2021,10/28/2020,Shooter
1012,Diablo IV,Blizzard Entertainment,Blizzard Entertainment,,12/1/2022,10/29/2020,Role-Playing
1013,Fallout 3,Bethesda Softworks,Bethesda Game Studios,,10/28/2008,10/30/2020,Role-Playing
1014,Fallout: New Vegas,Bethesda Softworks,Obsidian Entertainment,,10/19/2010,10/30/2020,Role-Playing
1015,Fallout 76,Bethesda Softworks,Bethesda Game Studios,,11/14/2018,10/30/2020,Role-Playing
1016,Medal of Honor: Warfighter,Electronic Arts,Danger Close Games,,10/23/2012,11/2/2020,Shooter
1017,Football Manager 2016,Sega,Sports Interactive,,11/13/2015,11/13/2020,Simulation
1018,Football Manager 2017,Sega,Sports Interactive,,11/4/2016,11/13/2020,Simulation
1019,Ben 10: Power Trip!,Outright Games,PHL Collective,,10/9/2020,11/18/2020,Action-Adventure
1020,Bright Memory,Playism,FYQD Personal Studio,,1/12/2019,12/9/2020,Shooter
1021,Farming Simulator 20,Focus Home Interactive,Giants Software,,12/3/2019,12/18/2020,Simulation
1022,Akiba's Trip: Hellbound & Debriefed,Xseed Games,Acquire,,7/20/2021,2/3/2021,Action
1023,Dracula 4: The Shadow of the Dragon,Anuman,Koalabs Studio,,6/18/2013,3/9/2021,Adventure
1024,Dracula 5: The Blood Legacy,Anuman,Koalabs Studio,,11/2/2013,3/9/2021,Adventure
1025,Railroad Tycoon II,Gathering of Developers,PopTop Software,,11/2/1998,3/12/2021,Simulation
1026,Le Temple perdu de l'oncle Ernest,Emme Interactive,Lexis Numerique,,1/1/2003,3/22/2021,Adventure
1027,La Statuette maudite de l'oncle Ernest,Emme Interactive,Lexis Numerique,,1/1/2004,3/22/2021,Adventure
1028,Comanche,THQ Nordic,NUKKLEAR,,3/12/2020,3/27/2021,Simulation
1029,Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,Daedalic Entertainment,,8/26/2011,4/1/2021,Adventure
1030,Football Manager 2022,Unknown,Sports Interactive,,,9/11/2021,Simulation
1031,Deltarune Chapter 2,Unknown,Toby Fox,,,12/23/2021,Role-Playing
1032,Days Gone,Sony Interactive Entertainment,SIE Bend Studio,,4/26/2019,1/6/2022,Action-Adventure
1033,ARK II,Unknown,Studio Wildcard,,,6/13/2022,Action-Adventure
1034,Football Manager 2023,Unknown,Sports Interactive,,,10/30/2022,Simulation
