Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
720,One Piece: Pirate Warriors 2,Bandai,Omega Force,590000,9/3/2013,11/22/2020,Action-Adventure
721,Dragon Ball: Raging Blast 2,Bandai,Spike,580000,11/2/2010,11/18/2020,Fighting
722,Final Fantasy Crystal Chronicles: Echoes of Time,Square Enix,Square Enix,570000,3/24/2009,1/14/2021,Role-Playing
723,Okami,Capcom,Clover Studio,550000,9/19/2006,1/20/2021,Action-Adventure
724,Toukiden: The Age of Demons,Tecmo Koei,Omega Force,550000,2/11/2014,2/5/2021,Role-Playing
725,ToeJam & Earl: Back in the Groove,HumaNature Studios,HumaNature Studios,550000,3/1/2019,9/17/2021,Platform
726,NCAA Football 2004,EA Sports,EA Tiburon,550000,7/16/2003,10/18/2022,Sports
727,Attack on Titan 2,Koei Tecmo,Omega Force,520000,3/20/2018,10/17/2020,Action
728,Romance of the Three Kingdoms XIV,Koei Tecmo,Koei,500000,2/28/2020,10/17/2020,Strategy
729,Granblue Fantasy: Versus,Xseed Games,Arc System Works,500000,3/3/2020,11/21/2020,Fighting
730,Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo,Gust,500000,10/29/2019,12/9/2020,Role-Playing
731,Yakuza 0,Sega,Sega,500000,1/24/2017,12/15/2020,Action-Adventure
732,Soul Reaver 2,Eidos Interactive,Crystal Dynamics,500000,10/31/2001,1/12/2021,Action-Adventure
733,Blood Omen 2,Eidos Interactive,Crystal Dynamics,500000,3/21/2002,1/12/2021,Action-Adventure
734,Backyard Wrestling: Don't Try This at Home,Eidos Interactive,Paradox Development,500000,10/7/2003,1/12/2021,Fighting
735,Legacy of Kain: Defiance,Eidos Interactive,Crystal Dynamics,500000,11/11/2003,1/12/2021,Action-Adventure
