Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
127,Professor Layton,Nintendo,Level-5,18000000,2/10/2008,2/4/2020,Adventure
128,Ace Combat,Namco,Namco,18000000,9/9/1995,3/11/2020,Simulation
129,Metroid,Nintendo,Nintendo,17990000,8/15/1987,2/19/2020,Action-Adventure
130,RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions,17230000,3/22/1999,3/11/2020,Simulation
131,Zuma,PopCap Games,Oberon Media,17000000,12/12/2003,2/16/2020,Puzzle
132,SoulCalibur,Namco,Project Soul,17000000,12/20/1996,3/12/2020,Fighting
133,Pokemon Mystery Dungeon,Nintendo,Chunsoft,16860000,9/18/2006,3/3/2020,Role-Playing
134,Hitman,Eidos Interactive,IO Interactive,16590000,11/21/2000,2/28/2020,Action-Adventure
135,Mario Tennis,Nintendo,Nintendo,16530000,8/14/1995,2/21/2020,Sports
136,Deus Ex,Eidos Interactive,Ion Storm,16400000,6/17/2000,2/28/2020,Role-Playing
137,Dead Rising,Capcom,Capcom,16000000,8/8/2006,2/3/2020,Action-Adventure
138,Mass Effect,Electronic Arts,BioWare,16000000,11/20/2007,2/24/2020,Role-Playing
139,Dead Island,Deep Silver,Techland,16000000,9/6/2011,3/20/2020,Action-Adventure
140,Fire Emblem,Nintendo,Intelligent Systems,15390000,11/3/2003,7/23/2021,Strategy
141,Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,15350000,2/24/2015,2/13/2020,Fighting
142,Just Cause,Eidos Interactive,Avalanche Studios,15000000,9/27/2006,2/11/2020,Shooter
143,Famista,Namco,Namco,15000000,12/10/1986,2/22/2020,Sports
144,Burnout,EA Sports,Criterion Games,15000000,11/1/2001,2/23/2020,Racing
145,Gex,BMG Interactive Entertainment,Crystal Dynamics,15000000,4/1/1995,3/1/2020,Platform
146,Backyard Sports,Humongous Entertainment,Humongous Entertainment,15000000,1/1/1997,3/3/2020,Sports
147,Barbie,Hi Tech Expressions,Imagineering,15000000,12/1/1991,3/14/2020,Action-Adventure
148,Metro,THQ,4a-games,14700000,3/16/2010,2/14/2021,Shooter
149,Lego Batman,Warner Bros. Interactive Entertainment,TT Fusion,14400000,9/23/2008,7/20/2021,Action-Adventure
150,Everybody's Golf,Sony Interactive Entertainment,Camelot Software,14190000,4/30/1998,3/9/2020,Sports
151,Yo-kai Watch,Nintendo,Level 5,14000000,11/6/2015,2/16/2020,Role-Playing
152,Mafia,2K Games,Illusion Softworks,14000000,8/29/2002,11/6/2020,Action-Adventure
153,Paper Mario,Nintendo,Intelligent Systems,13330000,2/5/2001,2/21/2020,Role-Playing
154,ARMA,505 Games,Bohemia Interactive,13000000,5/4/2007,2/17/2020,Shooter
155,Scribblenauts,Warner Bros. Interactive Entertainment,5th Cell,13000000,9/15/2009,3/1/2020,Puzzle
156,Fable,Microsoft Game Studios,Big Blue Box,12580000,9/14/2004,7/25/2020,Role-Playing
157,Myst,Broderbund,"Cyan, Inc.",12500000,9/24/1993,3/9/2020,Adventure
158,Mario Golf,Nintendo,Nintendo,12220000,9/29/1991,2/21/2020,Sports
159,Mario & Luigi,Nintendo,AlphaDream,12200000,11/17/2003,2/21/2020,Role-Playing
160,Wario,Nintendo,Nintendo,12130000,3/13/1994,2/22/2020,Platform
161,Left 4 Dead,Valve,Valve,12000000,11/17/2008,2/19/2020,Shooter
162,Cooking Mama,Majesco Entertainment,Cooking Mama Limited,12000000,9/12/2006,2/22/2020,Simulation
163,Jak and Daxter,Sony Interactive Entertainment,Naughty Dog,12000000,12/3/2001,3/2/2020,Action-Adventure
164,SOCOM,Sony Interactive Entertainment,Zipper Interactive,12000000,8/27/2002,3/9/2020,Shooter
165,Little Nightmares,Bandai Namco Entertainment,Tarsier Studios,12000000,4/28/2017,3/15/2020,Platform
166,Bomberman,Konami,Hudson Soft,12000000,1/1/1987,2/19/2021,Puzzle
167,The Room,Fireproof Games,Fireproof Games,11600000,9/1/2012,3/18/2020,Puzzle
168,Max Payne,Rockstar Games,Remedy Entertainment,11500000,7/23/2001,11/6/2020,Shooter
169,Dragon Age,Electronic Arts,BioWare,11200000,11/3/2009,12/31/2020,Role-Playing
170,Big Brain Academy,Nintendo,Nintendo,11080000,6/5/2006,3/23/2020,Puzzle
171,Sniper: Ghost Warrior,City Interactive,CI Games,11000000,10/16/2008,1/11/2021,Shooter
172,Rocket League,Psyonix,Psyonix,10500000,7/7/2015,3/16/2020,Sports
173,Tomodachi,Nintendo,Nintendo,10480000,6/6/2014,2/19/2020,Simulation
174,Star Fox,Nintendo,Nintendo,10280000,3/26/1993,8/18/2020,Shooter
175,Nobunaga's Ambition,KOEI,Koei,10200000,3/1/1983,2/14/2020,Strategy
176,SaGa,Square Enix,Square,10100000,9/30/1990,2/29/2020,Role-Playing
177,Marvel vs. Capcom,Capcom,Capcom,10000000,12/1/1996,2/3/2020,Fighting
178,Ace Attorney,Capcom,Capcom,10000000,10/12/2005,2/4/2020,Adventure
179,Killing Floor,Tripwire Interactive,Tripwire Interactive,10000000,5/14/2009,2/7/2020,Shooter
180,The Settlers,Blue Byte,Blue Byte,10000000,6/30/1993,2/10/2020,Strategy
181,Pitfall,Activision,Activision,10000000,4/20/1982,2/16/2020,Platform
182,MX vs. ATV,THQ Nordic,Rainbow Studios,10000000,2/5/2001,4/26/2020,Racing
183,Broken Sword,Virgin Interactive,Revolution Software,10000000,9/30/1996,3/3/2021,Adventure
184,The Binding of Isaac,Edmund McMillen,Edmund McMillen,9930000,9/28/2011,3/23/2020,Action
185,NieR,Square Enix,Cavia,9700000,4/23/2010,2/11/2020,Action-Adventure
186,Dead or Alive,Tecmo,Team Ninja,9700000,3/31/1998,2/17/2020,Fighting
187,Payday,Daybreak Games,Overkill Software,9000000,10/18/2011,2/16/2020,Shooter
188,Silent Hill,Konami,Konami Computer Entertainment Tokyo,9000000,2/23/1999,2/26/2020,Action-Adventure
189,Ninja Gaiden,Tecmo,Tecmo,8960000,10/1/1988,1/23/2021,Action
190,Xeno,Square,Square,8900000,10/20/1998,3/14/2020,Role-Playing
191,Megami Tensei,Atlus,Atlus,8800000,10/12/2004,2/7/2020,Role-Playing
192,Onimusha,Capcom,Capcom,8600000,3/13/2001,2/4/2020,Action-Adventure
193,Monument Valley,Ustwo Games,Ustwo Games,8590000,4/3/2014,1/30/2021,Puzzle
194,Unreal,GT Interactive,Epic Games,8000000,5/22/1998,2/14/2020,Shooter
195,Romance of the Three Kingdoms,KOEI,Koei,8000000,12/10/1985,2/15/2020,Strategy
196,Moto Racer,Electronic Arts,SK Software International,8000000,9/3/1997,2/15/2020,Racing
197,Samurai Warriors,KOEI,Omega Force,8000000,5/6/2004,2/15/2020,Action
198,Inazuma Eleven,Level 5,Level 5,8000000,8/22/2008,2/17/2020,Role-Playing
199,Kinect Sports,Microsoft Game Studios,Rare,8000000,10/9/2010,3/10/2020,Sports
200,Cuphead,Studio MDHR,Studio MDHR,8000000,9/29/2017,3/11/2020,Platform
201,Dragon's Dogma,Capcom,Capcom,7700000,5/22/2012,2/4/2020,Role-Playing
202,Magicka,Paradox Interactive,Arrowhead Game Studios,7660000,1/25/2011,2/16/2021,Action-Adventure
203,Jurassic Park,Ocean Software,Ocean Software,7570000,12/28/1993,3/14/2020,Action-Adventure
204,Crysis,Electronic Arts,Crytek,7500000,11/13/2007,2/23/2020,Shooter
205,Baldur's Gate,Interplay Entertainment Corp.,BioWare,7470000,7/31/2000,2/13/2020,Role-Playing
206,Trine,Nobilis,Frozenbyte,7390000,7/3/2009,1/28/2021,Platform
207,The Forest,Endnight Games Ltd,Endnight Games Ltd,7300000,4/30/2018,2/27/2023,Simulation
208,Ark,Studio Wildcard,Studio Wildcard,7260000,8/27/2017,3/19/2020,Action-Adventure
209,Oddworld,GT Interactive,Oddworld Inhabitants,7200000,9/19/1997,2/14/2020,Action-Adventure
210,The Legend of Heroes: Trails,Xseed Games,Falcom,7000000,3/29/2011,2/6/2020,Role-Playing
211,Nioh,Koei Tecmo,Team Ninja,7000000,2/7/2017,2/8/2020,Role-Playing
212,Mana,Square,Square,7000000,11/1/1991,2/13/2020,Role-Playing
213,Rugrats,THQ,Realtime Associates,7000000,6/29/1999,2/13/2020,Action-Adventure
214,Project Gotham Racing,Sega,Bizarre Creations,7000000,1/15/2001,2/14/2020,Racing
215,"Warhammer 40,000: Dawn of War",THQ,Relic Entertainment,7000000,9/20/2004,11/16/2020,Strategy
216,DiRT,Codemasters,Codemasters,7000000,6/19/2007,1/26/2021,Racing
217,King's Quest,Sierra Online,On-Line Systems,7000000,5/10/1984,4/2/2021,Adventure
218,Mario Strikers,Nintendo,Next Level Games,6740000,12/5/2005,2/21/2020,Sports
219,Star Wars: Knights of the Old Republic,LucasArts,BioWare,6730000,7/15/2003,3/1/2020,Role-Playing
220,Lost Planet,Capcom,Capcom,6600000,1/12/2007,2/4/2020,Shooter
221,Ben 10,D3 Publisher,High Voltage Software,6600000,10/30/2007,11/18/2020,Action-Adventure
222,Diddy Kong Racing,Nintendo,Rare Ltd.,6470000,11/24/1997,2/22/2020,Racing
223,Elite,Imagineer,David Braben,6400000,9/20/1984,1/19/2021,Simulation
224,Atelier,Koei Tecmo,Gust,6380000,6/28/2005,12/12/2020,Role-Playing
225,Pikmin,Nintendo,Nintendo,6220000,12/2/2001,8/18/2020,Strategy
226,Pokémon Snap,Nintendo,HAL Laboratory,6030000,6/30/1999,8/5/2021,Simulation
227,Championship Manager,Domark Software,Intelek,6000000,9/1/1992,2/12/2020,Simulation
228,Conflict,Gotham Games,Pivotal Games,6000000,9/30/2002,2/12/2020,Shooter
229,NBA Jam,Midway,Midway,6000000,3/4/1994,2/24/2020,Sports
230,MotorStorm,Sony Interactive Entertainment,Evolution Studios,6000000,3/6/2007,3/27/2020,Racing
231,Dead Space,Electronic Arts,EA Redwood Shores,6000000,10/13/2008,3/27/2020,Action-Adventure
232,One Piece: Pirate Warriors,Bandai Namco Games,Omega Force,6000000,9/25/2012,11/13/2020,Action-Adventure
233,Mario vs. Donkey Kong,Nintendo,Nintendo Software Technology Corporation,5870000,5/24/2004,2/22/2020,Puzzle
234,Style Savvy,Nintendo,syn Sophia,5830000,11/2/2009,5/10/2022,Simulation
235,Trials,RedLynx,RedLynx,5700000,8/12/2009,4/26/2020,Platform
236,Anno,GT Interactive,Max Design,5700000,2/1/2000,5/12/2021,Simulation
237,Dishonored,Bethesda Softworks,Arkane Studios,5670000,10/9/2012,1/27/2021,Action-Adventure
238,XCOM,Microprose,Mythos Games,5550000,3/1/1994,8/10/2022,Strategy
239,Chrono,Square,Square,5450000,8/11/1995,2/12/2020,Role-Playing
240,Alien,Fox Interactive,Fox Video Games,5360000,1/1/1982,6/26/2023,Shooter
241,Slime Rancher,Monomi Park,Monomi Park,5300000,8/1/2017,9/23/2022,Simulation
242,Wolfenstein,Bethesda Softworks,Muse Software,5270000,9/1/1981,4/8/2021,Shooter
243,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5230000,1/23/2018,3/3/2020,Adventure
244,Ridge Racer,Namco,Namco,5130000,12/1/1993,3/2/2021,Racing
245,Disgaea,Atlus,Nippon Ichi Software,5050000,8/27/2003,2/3/2021,Role-Playing
246,Kerbal Space Program,Private Division,Squad,5000000,4/27/2015,2/6/2020,Simulation
247,The Outer Worlds,Private Division,Obsidian Entertainment,5000000,10/25/2019,2/6/2020,Role-Playing
248,Tecmo Bowl,Tecmo,Tecmo,5000000,12/1/1987,2/8/2020,Sports
249,The Matrix,Infogrames,Shiny Entertainment,5000000,5/14/2003,2/8/2020,Action-Adventure
250,Torchlight,Encore,Runic Games,5000000,10/27/2009,3/20/2020,Role-Playing
251,Hyrule Warriors,Nintendo,Omega Force,5000000,9/26/2014,11/24/2020,Action
